Pavarde              Vardas              Galutinis
Pavarde105           Vardas105           8.60
Pavarde106           Vardas106           8.40
Pavarde108           Vardas108           8.00
Pavarde112           Vardas112           5.00
Pavarde114           Vardas114           5.20
Pavarde115           Vardas115           7.80
Pavarde116           Vardas116           6.00
Pavarde117           Vardas117           7.60
Pavarde119           Vardas119           7.40
Pavarde121           Vardas121           8.00
Pavarde122           Vardas122           8.00
Pavarde124           Vardas124           9.20
Pavarde125           Vardas125           6.40
Pavarde127           Vardas127           7.20
Pavarde128           Vardas128           5.80
Pavarde130           Vardas130           6.40
Pavarde131           Vardas131           6.60
Pavarde132           Vardas132           5.40
Pavarde133           Vardas133           7.60
Pavarde134           Vardas134           6.60
Pavarde135           Vardas135           6.20
Pavarde136           Vardas136           6.60
Pavarde139           Vardas139           7.80
Pavarde142           Vardas142           8.40
Pavarde144           Vardas144           6.60
Pavarde146           Vardas146           6.20
Pavarde147           Vardas147           7.00
Pavarde148           Vardas148           8.20
Pavarde149           Vardas149           7.00
Pavarde150           Vardas150           6.00
Pavarde154           Vardas154           8.40
Pavarde158           Vardas158           7.80
Pavarde159           Vardas159           7.40
Pavarde160           Vardas160           6.80
Pavarde161           Vardas161           8.60
Pavarde163           Vardas163           6.20
Pavarde167           Vardas167           7.20
Pavarde168           Vardas168           5.00
Pavarde169           Vardas169           6.00
Pavarde170           Vardas170           8.00
Pavarde171           Vardas171           5.20
Pavarde173           Vardas173           5.20
Pavarde175           Vardas175           7.20
Pavarde176           Vardas176           8.00
Pavarde177           Vardas177           5.40
Pavarde178           Vardas178           7.40
Pavarde180           Vardas180           5.40
Pavarde181           Vardas181           6.20
Pavarde183           Vardas183           7.40
Pavarde184           Vardas184           5.40
Pavarde187           Vardas187           6.20
Pavarde189           Vardas189           8.40
Pavarde190           Vardas190           5.40
Pavarde192           Vardas192           8.00
Pavarde193           Vardas193           6.80
Pavarde197           Vardas197           6.20
Pavarde198           Vardas198           8.40
Pavarde200           Vardas200           7.40
Pavarde201           Vardas201           5.80
Pavarde204           Vardas204           5.60
Pavarde205           Vardas205           9.20
Pavarde206           Vardas206           5.20
Pavarde207           Vardas207           5.80
Pavarde209           Vardas209           7.60
Pavarde210           Vardas210           6.40
Pavarde211           Vardas211           8.00
Pavarde212           Vardas212           7.60
Pavarde216           Vardas216           6.00
Pavarde217           Vardas217           5.40
Pavarde218           Vardas218           5.80
Pavarde219           Vardas219           8.40
Pavarde220           Vardas220           7.80
Pavarde222           Vardas222           5.80
Pavarde223           Vardas223           6.20
Pavarde224           Vardas224           5.00
Pavarde225           Vardas225           6.40
Pavarde226           Vardas226           7.40
Pavarde227           Vardas227           8.40
Pavarde228           Vardas228           8.40
Pavarde229           Vardas229           6.60
Pavarde230           Vardas230           7.40
Pavarde231           Vardas231           7.80
Pavarde234           Vardas234           8.00
Pavarde235           Vardas235           5.80
Pavarde236           Vardas236           6.00
Pavarde237           Vardas237           7.60
Pavarde238           Vardas238           8.00
Pavarde239           Vardas239           6.00
Pavarde241           Vardas241           5.80
Pavarde242           Vardas242           6.40
Pavarde243           Vardas243           5.80
Pavarde244           Vardas244           5.80
Pavarde245           Vardas245           8.00
Pavarde246           Vardas246           5.80
Pavarde248           Vardas248           7.40
Pavarde249           Vardas249           8.20
Pavarde250           Vardas250           6.20
Pavarde251           Vardas251           8.00
Pavarde252           Vardas252           6.20
Pavarde253           Vardas253           8.20
Pavarde255           Vardas255           7.80
Pavarde256           Vardas256           6.40
Pavarde257           Vardas257           6.20
Pavarde258           Vardas258           7.40
Pavarde259           Vardas259           5.20
Pavarde263           Vardas263           5.00
Pavarde264           Vardas264           5.00
Pavarde266           Vardas266           5.40
Pavarde268           Vardas268           7.80
Pavarde270           Vardas270           6.80
Pavarde272           Vardas272           7.00
Pavarde273           Vardas273           7.80
Pavarde274           Vardas274           8.80
Pavarde277           Vardas277           5.60
Pavarde281           Vardas281           7.40
Pavarde283           Vardas283           7.20
Pavarde284           Vardas284           5.00
Pavarde285           Vardas285           7.40
Pavarde286           Vardas286           7.40
Pavarde287           Vardas287           7.00
Pavarde288           Vardas288           7.00
Pavarde289           Vardas289           5.40
Pavarde290           Vardas290           5.20
Pavarde291           Vardas291           5.00
Pavarde293           Vardas293           6.20
Pavarde297           Vardas297           6.60
Pavarde298           Vardas298           7.40
Pavarde299           Vardas299           8.00
Pavarde302           Vardas302           8.40
Pavarde303           Vardas303           8.40
Pavarde304           Vardas304           8.40
Pavarde307           Vardas307           6.60
Pavarde309           Vardas309           9.20
Pavarde311           Vardas311           7.40
Pavarde312           Vardas312           7.60
Pavarde314           Vardas314           9.00
Pavarde315           Vardas315           6.20
Pavarde316           Vardas316           7.60
Pavarde317           Vardas317           6.40
Pavarde318           Vardas318           5.80
Pavarde319           Vardas319           9.00
Pavarde320           Vardas320           6.60
Pavarde321           Vardas321           5.40
Pavarde322           Vardas322           7.20
Pavarde324           Vardas324           8.00
Pavarde325           Vardas325           8.20
Pavarde328           Vardas328           6.20
Pavarde329           Vardas329           5.60
Pavarde331           Vardas331           5.60
Pavarde332           Vardas332           6.80
Pavarde333           Vardas333           7.80
Pavarde335           Vardas335           7.80
Pavarde337           Vardas337           9.20
Pavarde338           Vardas338           6.40
Pavarde339           Vardas339           8.80
Pavarde341           Vardas341           8.00
Pavarde343           Vardas343           5.20
Pavarde344           Vardas344           6.00
Pavarde346           Vardas346           8.20
Pavarde347           Vardas347           5.60
Pavarde348           Vardas348           5.00
Pavarde349           Vardas349           7.40
Pavarde352           Vardas352           7.40
Pavarde353           Vardas353           6.60
Pavarde357           Vardas357           6.80
Pavarde359           Vardas359           6.40
Pavarde360           Vardas360           9.60
Pavarde363           Vardas363           5.40
Pavarde365           Vardas365           7.80
Pavarde366           Vardas366           5.00
Pavarde368           Vardas368           6.00
Pavarde369           Vardas369           7.60
Pavarde370           Vardas370           6.40
Pavarde371           Vardas371           7.40
Pavarde373           Vardas373           7.20
Pavarde374           Vardas374           7.00
Pavarde375           Vardas375           6.80
Pavarde376           Vardas376           7.80
Pavarde377           Vardas377           7.80
Pavarde378           Vardas378           5.00
Pavarde381           Vardas381           6.40
Pavarde383           Vardas383           7.40
Pavarde384           Vardas384           7.20
Pavarde385           Vardas385           5.80
Pavarde386           Vardas386           6.20
Pavarde388           Vardas388           5.40
Pavarde389           Vardas389           7.40
Pavarde391           Vardas391           5.00
Pavarde393           Vardas393           9.20
Pavarde396           Vardas396           6.00
Pavarde397           Vardas397           6.80
Pavarde398           Vardas398           7.40
Pavarde400           Vardas400           7.60
Pavarde406           Vardas406           5.60
Pavarde407           Vardas407           7.40
Pavarde408           Vardas408           7.20
Pavarde409           Vardas409           8.80
Pavarde410           Vardas410           6.20
Pavarde411           Vardas411           7.00
Pavarde412           Vardas412           5.40
Pavarde413           Vardas413           8.20
Pavarde414           Vardas414           8.00
Pavarde416           Vardas416           5.80
Pavarde417           Vardas417           6.60
Pavarde419           Vardas419           8.00
Pavarde420           Vardas420           8.00
Pavarde422           Vardas422           9.20
Pavarde423           Vardas423           5.80
Pavarde424           Vardas424           8.80
Pavarde426           Vardas426           5.00
Pavarde430           Vardas430           6.80
Pavarde431           Vardas431           5.60
Pavarde432           Vardas432           6.00
Pavarde434           Vardas434           6.40
Pavarde436           Vardas436           9.60
Pavarde437           Vardas437           5.80
Pavarde438           Vardas438           6.60
Pavarde439           Vardas439           6.60
Pavarde441           Vardas441           6.00
Pavarde442           Vardas442           6.20
Pavarde443           Vardas443           7.40
Pavarde444           Vardas444           7.60
Pavarde445           Vardas445           5.00
Pavarde446           Vardas446           5.40
Pavarde447           Vardas447           5.80
Pavarde448           Vardas448           7.20
Pavarde450           Vardas450           5.20
Pavarde454           Vardas454           8.80
Pavarde456           Vardas456           8.40
Pavarde457           Vardas457           6.80
Pavarde458           Vardas458           6.00
Pavarde459           Vardas459           8.20
Pavarde460           Vardas460           6.80
Pavarde461           Vardas461           5.60
Pavarde463           Vardas463           6.60
Pavarde464           Vardas464           7.80
Pavarde465           Vardas465           7.60
Pavarde466           Vardas466           7.20
Pavarde467           Vardas467           6.00
Pavarde468           Vardas468           7.00
Pavarde469           Vardas469           6.80
Pavarde470           Vardas470           8.80
Pavarde471           Vardas471           6.40
Pavarde472           Vardas472           7.20
Pavarde475           Vardas475           7.80
Pavarde476           Vardas476           5.60
Pavarde479           Vardas479           7.80
Pavarde481           Vardas481           5.60
Pavarde482           Vardas482           6.60
Pavarde484           Vardas484           8.00
Pavarde485           Vardas485           6.60
Pavarde487           Vardas487           6.20
Pavarde488           Vardas488           6.80
Pavarde489           Vardas489           6.20
Pavarde490           Vardas490           5.40
Pavarde491           Vardas491           5.40
Pavarde497           Vardas497           7.40
Pavarde498           Vardas498           8.20
Pavarde499           Vardas499           6.60
Pavarde501           Vardas501           7.60
Pavarde503           Vardas503           6.40
Pavarde504           Vardas504           7.40
Pavarde505           Vardas505           7.80
Pavarde507           Vardas507           8.00
Pavarde511           Vardas511           5.40
Pavarde512           Vardas512           8.80
Pavarde516           Vardas516           7.20
Pavarde517           Vardas517           7.20
Pavarde518           Vardas518           5.60
Pavarde523           Vardas523           7.40
Pavarde524           Vardas524           7.20
Pavarde525           Vardas525           7.00
Pavarde526           Vardas526           5.60
Pavarde528           Vardas528           6.00
Pavarde530           Vardas530           7.40
Pavarde531           Vardas531           5.60
Pavarde534           Vardas534           5.00
Pavarde535           Vardas535           5.00
Pavarde537           Vardas537           7.00
Pavarde538           Vardas538           6.00
Pavarde539           Vardas539           8.00
Pavarde542           Vardas542           5.00
Pavarde543           Vardas543           7.60
Pavarde545           Vardas545           6.00
Pavarde546           Vardas546           6.60
Pavarde548           Vardas548           6.80
Pavarde549           Vardas549           6.80
Pavarde550           Vardas550           7.20
Pavarde552           Vardas552           5.60
Pavarde553           Vardas553           5.40
Pavarde557           Vardas557           6.20
Pavarde558           Vardas558           7.60
Pavarde562           Vardas562           5.60
Pavarde563           Vardas563           6.60
Pavarde564           Vardas564           7.60
Pavarde565           Vardas565           7.40
Pavarde566           Vardas566           8.00
Pavarde567           Vardas567           7.40
Pavarde568           Vardas568           6.20
Pavarde572           Vardas572           6.80
Pavarde573           Vardas573           8.40
Pavarde576           Vardas576           6.20
Pavarde577           Vardas577           8.00
Pavarde578           Vardas578           5.60
Pavarde579           Vardas579           8.60
Pavarde580           Vardas580           6.40
Pavarde582           Vardas582           8.80
Pavarde583           Vardas583           5.00
Pavarde584           Vardas584           6.40
Pavarde585           Vardas585           5.60
Pavarde587           Vardas587           7.60
Pavarde588           Vardas588           5.00
Pavarde589           Vardas589           6.60
Pavarde592           Vardas592           5.20
Pavarde594           Vardas594           6.40
Pavarde596           Vardas596           6.00
Pavarde598           Vardas598           7.80
Pavarde599           Vardas599           6.20
Pavarde600           Vardas600           8.20
Pavarde603           Vardas603           7.80
Pavarde604           Vardas604           8.80
Pavarde605           Vardas605           7.20
Pavarde606           Vardas606           5.20
Pavarde611           Vardas611           6.80
Pavarde612           Vardas612           6.60
Pavarde614           Vardas614           5.60
Pavarde615           Vardas615           5.80
Pavarde616           Vardas616           7.60
Pavarde618           Vardas618           6.80
Pavarde619           Vardas619           6.40
Pavarde620           Vardas620           5.60
Pavarde621           Vardas621           7.00
Pavarde622           Vardas622           7.20
Pavarde623           Vardas623           9.20
Pavarde624           Vardas624           7.80
Pavarde625           Vardas625           8.00
Pavarde627           Vardas627           8.40
Pavarde628           Vardas628           7.20
Pavarde631           Vardas631           8.00
Pavarde632           Vardas632           6.20
Pavarde634           Vardas634           8.80
Pavarde636           Vardas636           5.60
Pavarde637           Vardas637           7.80
Pavarde639           Vardas639           5.40
Pavarde641           Vardas641           6.20
Pavarde642           Vardas642           7.20
Pavarde643           Vardas643           7.00
Pavarde644           Vardas644           9.20
Pavarde645           Vardas645           5.20
Pavarde646           Vardas646           5.60
Pavarde648           Vardas648           7.00
Pavarde649           Vardas649           7.80
Pavarde651           Vardas651           5.60
Pavarde652           Vardas652           7.80
Pavarde653           Vardas653           7.20
Pavarde655           Vardas655           5.20
Pavarde656           Vardas656           7.00
Pavarde660           Vardas660           6.40
Pavarde662           Vardas662           7.60
Pavarde663           Vardas663           5.80
Pavarde665           Vardas665           6.80
Pavarde667           Vardas667           7.80
Pavarde669           Vardas669           7.80
Pavarde670           Vardas670           8.00
Pavarde671           Vardas671           7.20
Pavarde672           Vardas672           5.00
Pavarde677           Vardas677           7.00
Pavarde678           Vardas678           8.80
Pavarde681           Vardas681           8.80
Pavarde682           Vardas682           6.20
Pavarde683           Vardas683           6.20
Pavarde684           Vardas684           7.60
Pavarde685           Vardas685           6.80
Pavarde686           Vardas686           8.00
Pavarde687           Vardas687           5.60
Pavarde689           Vardas689           7.60
Pavarde690           Vardas690           9.20
Pavarde691           Vardas691           5.40
Pavarde692           Vardas692           7.40
Pavarde698           Vardas698           5.40
Pavarde699           Vardas699           7.60
Pavarde701           Vardas701           5.80
Pavarde702           Vardas702           6.60
Pavarde703           Vardas703           8.80
Pavarde704           Vardas704           6.00
Pavarde706           Vardas706           7.60
Pavarde707           Vardas707           5.40
Pavarde708           Vardas708           6.80
Pavarde709           Vardas709           5.80
Pavarde710           Vardas710           5.40
Pavarde713           Vardas713           5.20
Pavarde714           Vardas714           8.80
Pavarde715           Vardas715           5.60
Pavarde718           Vardas718           6.60
Pavarde720           Vardas720           7.00
Pavarde721           Vardas721           5.60
Pavarde723           Vardas723           5.80
Pavarde727           Vardas727           7.40
Pavarde729           Vardas729           8.80
Pavarde731           Vardas731           8.40
Pavarde733           Vardas733           7.60
Pavarde735           Vardas735           7.80
Pavarde736           Vardas736           7.80
Pavarde737           Vardas737           7.40
Pavarde738           Vardas738           8.00
Pavarde739           Vardas739           5.00
Pavarde740           Vardas740           5.60
Pavarde741           Vardas741           6.80
Pavarde745           Vardas745           6.00
Pavarde747           Vardas747           7.40
Pavarde748           Vardas748           8.00
Pavarde749           Vardas749           6.60
Pavarde750           Vardas750           6.00
Pavarde751           Vardas751           6.00
Pavarde754           Vardas754           6.00
Pavarde756           Vardas756           5.00
Pavarde757           Vardas757           8.80
Pavarde759           Vardas759           6.60
Pavarde760           Vardas760           8.80
Pavarde761           Vardas761           7.80
Pavarde762           Vardas762           8.20
Pavarde763           Vardas763           7.40
Pavarde764           Vardas764           7.80
Pavarde766           Vardas766           5.80
Pavarde767           Vardas767           7.00
Pavarde768           Vardas768           5.40
Pavarde770           Vardas770           7.80
Pavarde771           Vardas771           6.00
Pavarde774           Vardas774           6.20
Pavarde775           Vardas775           5.60
Pavarde776           Vardas776           5.00
Pavarde777           Vardas777           8.40
Pavarde778           Vardas778           5.80
Pavarde779           Vardas779           5.00
Pavarde780           Vardas780           8.60
Pavarde782           Vardas782           5.80
Pavarde784           Vardas784           5.20
Pavarde785           Vardas785           6.20
Pavarde787           Vardas787           7.00
Pavarde788           Vardas788           6.80
Pavarde789           Vardas789           7.20
Pavarde791           Vardas791           5.00
Pavarde794           Vardas794           7.00
Pavarde795           Vardas795           8.00
Pavarde796           Vardas796           6.00
Pavarde797           Vardas797           5.00
Pavarde798           Vardas798           5.40
Pavarde802           Vardas802           6.80
Pavarde804           Vardas804           5.00
Pavarde806           Vardas806           6.80
Pavarde807           Vardas807           5.20
Pavarde808           Vardas808           8.00
Pavarde809           Vardas809           7.40
Pavarde812           Vardas812           7.60
Pavarde813           Vardas813           5.80
Pavarde814           Vardas814           6.00
Pavarde815           Vardas815           8.40
Pavarde816           Vardas816           6.80
Pavarde817           Vardas817           6.60
Pavarde820           Vardas820           5.40
Pavarde821           Vardas821           8.00
Pavarde822           Vardas822           7.40
Pavarde823           Vardas823           8.80
Pavarde825           Vardas825           8.00
Pavarde831           Vardas831           6.00
Pavarde832           Vardas832           6.00
Pavarde833           Vardas833           7.80
Pavarde834           Vardas834           5.00
Pavarde835           Vardas835           7.20
Pavarde836           Vardas836           7.40
Pavarde837           Vardas837           7.40
Pavarde839           Vardas839           8.20
Pavarde843           Vardas843           7.20
Pavarde845           Vardas845           5.00
Pavarde846           Vardas846           5.60
Pavarde850           Vardas850           5.20
Pavarde851           Vardas851           8.40
Pavarde852           Vardas852           5.40
Pavarde854           Vardas854           7.60
Pavarde855           Vardas855           5.00
Pavarde856           Vardas856           5.40
Pavarde857           Vardas857           7.80
Pavarde861           Vardas861           7.00
Pavarde862           Vardas862           6.20
Pavarde863           Vardas863           5.00
Pavarde865           Vardas865           6.40
Pavarde866           Vardas866           5.40
Pavarde867           Vardas867           8.60
Pavarde868           Vardas868           7.80
Pavarde869           Vardas869           8.60
Pavarde872           Vardas872           5.60
Pavarde873           Vardas873           6.00
Pavarde875           Vardas875           6.40
Pavarde876           Vardas876           5.80
Pavarde877           Vardas877           7.40
Pavarde880           Vardas880           8.00
Pavarde881           Vardas881           8.20
Pavarde885           Vardas885           8.80
Pavarde886           Vardas886           6.80
Pavarde887           Vardas887           8.40
Pavarde888           Vardas888           6.60
Pavarde889           Vardas889           7.80
Pavarde890           Vardas890           7.40
Pavarde891           Vardas891           6.60
Pavarde892           Vardas892           7.80
Pavarde893           Vardas893           8.00
Pavarde896           Vardas896           5.80
Pavarde897           Vardas897           5.00
Pavarde899           Vardas899           7.40
Pavarde901           Vardas901           7.80
Pavarde904           Vardas904           8.00
Pavarde905           Vardas905           7.40
Pavarde906           Vardas906           5.00
Pavarde907           Vardas907           8.20
Pavarde908           Vardas908           7.40
Pavarde909           Vardas909           6.60
Pavarde910           Vardas910           8.40
Pavarde911           Vardas911           7.80
Pavarde913           Vardas913           7.00
Pavarde914           Vardas914           9.20
Pavarde916           Vardas916           5.80
Pavarde920           Vardas920           7.80
Pavarde921           Vardas921           7.00
Pavarde922           Vardas922           7.40
Pavarde923           Vardas923           6.20
Pavarde924           Vardas924           7.60
Pavarde925           Vardas925           6.60
Pavarde926           Vardas926           5.20
Pavarde927           Vardas927           7.80
Pavarde929           Vardas929           7.40
Pavarde930           Vardas930           6.60
Pavarde931           Vardas931           6.60
Pavarde932           Vardas932           5.40
Pavarde933           Vardas933           5.00
Pavarde935           Vardas935           6.80
Pavarde936           Vardas936           7.00
Pavarde937           Vardas937           8.80
Pavarde939           Vardas939           8.00
Pavarde940           Vardas940           5.40
Pavarde941           Vardas941           6.00
Pavarde942           Vardas942           8.40
Pavarde943           Vardas943           6.00
Pavarde946           Vardas946           8.00
Pavarde947           Vardas947           8.00
Pavarde948           Vardas948           5.60
Pavarde949           Vardas949           7.00
Pavarde953           Vardas953           6.20
Pavarde955           Vardas955           9.20
Pavarde956           Vardas956           6.80
Pavarde957           Vardas957           6.20
Pavarde958           Vardas958           7.00
Pavarde959           Vardas959           7.60
Pavarde961           Vardas961           5.20
Pavarde962           Vardas962           6.80
Pavarde964           Vardas964           7.40
Pavarde965           Vardas965           8.20
Pavarde966           Vardas966           7.00
Pavarde967           Vardas967           6.60
Pavarde968           Vardas968           8.80
Pavarde969           Vardas969           6.80
Pavarde970           Vardas970           6.00
Pavarde971           Vardas971           7.60
Pavarde972           Vardas972           8.20
Pavarde974           Vardas974           7.80
Pavarde976           Vardas976           7.20
Pavarde979           Vardas979           7.40
Pavarde980           Vardas980           6.40
Pavarde981           Vardas981           7.40
Pavarde982           Vardas982           8.60
Pavarde983           Vardas983           6.20
Pavarde984           Vardas984           6.60
Pavarde988           Vardas988           6.20
Pavarde990           Vardas990           6.60
Pavarde991           Vardas991           7.40
Pavarde993           Vardas993           7.20
Pavarde994           Vardas994           6.80
Pavarde995           Vardas995           7.60
Pavarde997           Vardas997           8.00
Pavarde998           Vardas998           5.20
Pavarde1000          Vardas1000          5.40
Pavarde1002          Vardas1002          7.60
Pavarde1004          Vardas1004          8.00
Pavarde1006          Vardas1006          8.20
Pavarde1008          Vardas1008          8.40
Pavarde1009          Vardas1009          6.00
Pavarde1010          Vardas1010          8.00
Pavarde1011          Vardas1011          5.80
Pavarde1012          Vardas1012          5.40
Pavarde1014          Vardas1014          6.20
Pavarde1015          Vardas1015          7.00
Pavarde1016          Vardas1016          8.40
Pavarde1018          Vardas1018          7.80
Pavarde1019          Vardas1019          6.60
Pavarde1021          Vardas1021          6.80
Pavarde1022          Vardas1022          6.20
Pavarde1025          Vardas1025          8.80
Pavarde1027          Vardas1027          7.60
Pavarde1028          Vardas1028          5.60
Pavarde1029          Vardas1029          8.00
Pavarde1032          Vardas1032          8.60
Pavarde1034          Vardas1034          6.40
Pavarde1035          Vardas1035          6.40
Pavarde1036          Vardas1036          6.20
Pavarde1037          Vardas1037          8.40
Pavarde1038          Vardas1038          8.60
Pavarde1039          Vardas1039          8.20
Pavarde1040          Vardas1040          5.40
Pavarde1041          Vardas1041          6.00
Pavarde1043          Vardas1043          8.40
Pavarde1044          Vardas1044          5.20
Pavarde1045          Vardas1045          6.20
Pavarde1046          Vardas1046          7.00
Pavarde1047          Vardas1047          6.20
Pavarde1049          Vardas1049          7.80
Pavarde1050          Vardas1050          8.40
Pavarde1051          Vardas1051          8.80
Pavarde1053          Vardas1053          7.80
Pavarde1054          Vardas1054          7.60
Pavarde1055          Vardas1055          7.00
Pavarde1057          Vardas1057          8.40
Pavarde1058          Vardas1058          5.60
Pavarde1059          Vardas1059          5.40
Pavarde1060          Vardas1060          7.60
Pavarde1061          Vardas1061          8.20
Pavarde1065          Vardas1065          5.40
Pavarde1067          Vardas1067          6.00
Pavarde1068          Vardas1068          7.60
Pavarde1069          Vardas1069          5.60
Pavarde1070          Vardas1070          6.80
Pavarde1071          Vardas1071          5.20
Pavarde1072          Vardas1072          5.20
Pavarde1073          Vardas1073          5.20
Pavarde1074          Vardas1074          5.40
Pavarde1075          Vardas1075          8.20
Pavarde1079          Vardas1079          5.60
Pavarde1081          Vardas1081          5.60
Pavarde1082          Vardas1082          7.20
Pavarde1087          Vardas1087          5.80
Pavarde1088          Vardas1088          5.60
Pavarde1089          Vardas1089          7.60
Pavarde1091          Vardas1091          7.00
Pavarde1092          Vardas1092          5.60
Pavarde1093          Vardas1093          6.20
Pavarde1095          Vardas1095          6.20
Pavarde1096          Vardas1096          7.00
Pavarde1098          Vardas1098          6.80
Pavarde1099          Vardas1099          6.20
Pavarde1101          Vardas1101          6.00
Pavarde1102          Vardas1102          7.60
Pavarde1104          Vardas1104          8.00
Pavarde1107          Vardas1107          7.40
Pavarde1108          Vardas1108          7.40
Pavarde1109          Vardas1109          5.60
Pavarde1115          Vardas1115          5.40
Pavarde1116          Vardas1116          5.80
Pavarde1117          Vardas1117          8.80
Pavarde1118          Vardas1118          6.80
Pavarde1119          Vardas1119          6.60
Pavarde1122          Vardas1122          6.00
Pavarde1123          Vardas1123          5.00
Pavarde1126          Vardas1126          5.20
Pavarde1127          Vardas1127          5.80
Pavarde1128          Vardas1128          5.00
Pavarde1130          Vardas1130          5.00
Pavarde1131          Vardas1131          7.20
Pavarde1132          Vardas1132          6.20
Pavarde1134          Vardas1134          9.20
Pavarde1135          Vardas1135          7.20
Pavarde1139          Vardas1139          7.20
Pavarde1140          Vardas1140          7.60
Pavarde1141          Vardas1141          8.40
Pavarde1142          Vardas1142          8.20
Pavarde1143          Vardas1143          7.00
Pavarde1144          Vardas1144          5.40
Pavarde1145          Vardas1145          6.20
Pavarde1146          Vardas1146          7.40
Pavarde1147          Vardas1147          7.60
Pavarde1150          Vardas1150          7.60
Pavarde1151          Vardas1151          7.40
Pavarde1152          Vardas1152          5.60
Pavarde1154          Vardas1154          5.40
Pavarde1155          Vardas1155          7.40
Pavarde1157          Vardas1157          5.20
Pavarde1160          Vardas1160          6.00
Pavarde1161          Vardas1161          7.60
Pavarde1163          Vardas1163          8.80
Pavarde1164          Vardas1164          7.60
Pavarde1165          Vardas1165          6.80
Pavarde1170          Vardas1170          8.60
Pavarde1171          Vardas1171          6.80
Pavarde1172          Vardas1172          5.00
Pavarde1173          Vardas1173          7.20
Pavarde1176          Vardas1176          6.60
Pavarde1177          Vardas1177          5.80
Pavarde1178          Vardas1178          6.00
Pavarde1179          Vardas1179          7.40
Pavarde1180          Vardas1180          5.60
Pavarde1182          Vardas1182          6.00
Pavarde1183          Vardas1183          6.80
Pavarde1184          Vardas1184          5.60
Pavarde1185          Vardas1185          6.80
Pavarde1187          Vardas1187          6.00
Pavarde1189          Vardas1189          5.80
Pavarde1190          Vardas1190          5.60
Pavarde1191          Vardas1191          8.20
Pavarde1196          Vardas1196          5.40
Pavarde1197          Vardas1197          7.80
Pavarde1198          Vardas1198          5.60
Pavarde1199          Vardas1199          5.60
Pavarde1200          Vardas1200          5.00
Pavarde1201          Vardas1201          5.00
Pavarde1204          Vardas1204          5.00
Pavarde1206          Vardas1206          6.20
Pavarde1207          Vardas1207          5.00
Pavarde1208          Vardas1208          5.80
Pavarde1211          Vardas1211          6.00
Pavarde1212          Vardas1212          7.80
Pavarde1214          Vardas1214          6.40
Pavarde1215          Vardas1215          7.80
Pavarde1216          Vardas1216          6.40
Pavarde1218          Vardas1218          6.80
Pavarde1220          Vardas1220          8.00
Pavarde1222          Vardas1222          8.60
Pavarde1223          Vardas1223          6.80
Pavarde1226          Vardas1226          8.80
Pavarde1227          Vardas1227          5.60
Pavarde1231          Vardas1231          6.20
Pavarde1232          Vardas1232          6.00
Pavarde1233          Vardas1233          6.80
Pavarde1234          Vardas1234          5.60
Pavarde1237          Vardas1237          6.00
Pavarde1238          Vardas1238          7.00
Pavarde1241          Vardas1241          8.80
Pavarde1243          Vardas1243          8.80
Pavarde1244          Vardas1244          5.60
Pavarde1245          Vardas1245          8.80
Pavarde1246          Vardas1246          5.20
